DATE,WLEMUINDXD
2019-08-18,335.25000
2019-08-19,91.26000
2019-08-20,52.80000
2019-08-21,36.08000
2019-08-22,112.72000
2019-08-23,81.83000
2019-08-24,304.16000
2019-08-25,194.60000
2019-08-26,45.88000
2019-08-27,133.31000
2019-08-28,110.05000
2019-08-29,131.59000
2019-08-30,254.72000
2019-08-31,231.76000
2019-09-01,203.62000
2019-09-02,21.56000
2019-09-03,125.51000
2019-09-04,102.21000
2019-09-05,27.98000
2019-09-06,68.53000
2019-09-07,39.57000
2019-09-08,52.01000
2019-09-09,14.40000
2019-09-10,22.62000
2019-09-11,81.34000
2019-09-12,65.85000
2019-09-13,80.21000
2019-09-14,38.65000
2019-09-15,143.74000
2019-09-16,88.26000
2019-09-17,10.39000
2019-09-18,36.33000
2019-09-19,121.30000
2019-09-20,69.51000
2019-09-21,39.18000
2019-09-22,91.19000
2019-09-23,14.13000
2019-09-24,67.27000
2019-09-25,99.58000
2019-09-26,64.93000
2019-09-27,37.98000
2019-09-28,51.37000
2019-09-29,89.19000
2019-09-30,28.25000
2019-10-01,74.75000
2019-10-02,36.10000
2019-10-03,96.11000
2019-10-04,198.30000
2019-10-05,118.40000
2019-10-06,168.72000
2019-10-07,144.46000
2019-10-08,97.67000
2019-10-09,51.88000
2019-10-10,138.91000
2019-10-11,19.20000
2019-10-12,102.77000
2019-10-13,105.84000
2019-10-14,47.49000
2019-10-15,22.33000
2019-10-16,35.41000
2019-10-17,54.89000
2019-10-18,9.89000
2019-10-19,26.39000
2019-10-20,40.19000
2019-10-21,13.78000
2019-10-22,22.18000
2019-10-23,61.28000
2019-10-24,121.66000
2019-10-25,59.40000
2019-10-26,25.87000
2019-10-27,38.54000
2019-10-28,15.20000
2019-10-29,45.44000
2019-10-30,61.88000
2019-10-31,119.71000
2019-11-01,30.75000
2019-11-02,65.63000
2019-11-03,104.25000
2019-11-04,70.94000
2019-11-05,53.08000
2019-11-06,36.58000
2019-11-07,93.74000
2019-11-08,91.24000
2019-11-09,65.74000
2019-11-10,130.15000
2019-11-11,42.16000
2019-11-12,94.06000
2019-11-13,36.20000
2019-11-14,9.41000
2019-11-15,19.87000
2019-11-16,93.13000
2019-11-17,132.22000
2019-11-18,78.16000
2019-11-19,10.87000
2019-11-20,28.03000
2019-11-21,19.01000
2019-11-22,10.01000
2019-11-23,124.73000
2019-11-24,52.56000
2019-11-25,15.44000
2019-11-26,10.93000
2019-11-27,29.28000
2019-11-28,59.96000
2019-11-29,12.83000
2019-11-30,15.45000
2019-12-01,27.52000
2019-12-02,32.27000
2019-12-03,22.73000
